DecayParticle1_Name DecayParticle1_isBoson DecayParticle1_mass DecayParticle1_E DecayParticle1_px DecayParticle1_py DecayParticle1_pz DecayParticle2_Name DecayParticle2_isBoson DecayParticle2_mass DecayParticle2_E DecayParticle2_px DecayParticle2_py DecayParticle2_pz
b_quark 0 4.18 134.203 -53 28 -120 b_quark 0 4.18 44.5923 15 -15 39
b_quark 0 4.18 118.252 -93 -66 -31 b_quark 0 4.18 175.01 81 121 97
W+ 1 80.4 181.737 -146 -72 8 W- 1 80.4 271.356 239 7 -100
b_quark 0 4.18 150.082 -57 -103 -93 b_quark 0 4.18 163.773 148 70 0
W+ 1 80.4 240.408 -124 116 -150 W- 1 80.4 223.471 69 -145 133
W+ 1 80.4 208.483 -26 126 143 W- 1 80.4 256.512 103 -50 -215
b_quark 0 4.18 88.7382 83 -22 22 b_quark 0 4.18 129.416 -51 -21 -117
b_quark 0 4.18 144.487 47 125 -55 b_quark 0 4.18 117.658 -19 -116 -3
W+ 1 80.4 179.962 -72 -143 17 W- 1 80.4 277.341 107 242 21
tau+ 0 1.78 181.563 -119 -24 -135 tau- 0 1.78 119.621 71 -39 88
Z 1 91.2 206.607 -138 85 -90 Z 1 91.2 234.705 141 -142 82
b_quark 0 4.18 141.727 -102 -71 68 b_quark 0 4.18 136.171 107 80 -26
b_quark 0 4.18 171.626 78 85 -127 b_quark 0 4.18 190.784 16 -85 170
b_quark 0 4.18 138.559 -98 -91 -36 b_quark 0 4.18 88.1106 73 49 4
b_quark 0 4.18 106.257 -98 38 -15 b_quark 0 4.18 130.96 125 -32 22
W+ 1 80.4 165.871 -69 108 -68 W- 1 80.4 240.994 26 -193 117
W+ 1 80.4 173.531 73 -76 -112 W- 1 80.4 206.807 -67 170 54
b_quark 0 4.18 63.0751 -44 -45 0 b_quark 0 4.18 136.925 11 123 -59
b_quark 0 4.18 136.607 -24 92 98 b_quark 0 4.18 71.8434 6 -22 -68
b_quark 0 4.18 41.2731 -2 41 -1 b_quark 0 4.18 87.0085 -68 48 25
b_quark 0 4.18 144.466 -110 -92 -17 b_quark 0 4.18 220.337 95 191 -55
W+ 1 80.4 225.145 131 -88 139 W- 1 80.4 250.17 -211 28 -104
b_quark 0 4.18 109.195 -59 45 80 b_quark 0 4.18 183.037 24 35 -178
b_quark 0 4.18 186.744 -118 144 14 b_quark 0 4.18 153.299 21 -139 61
W+ 1 80.4 192.232 122 -41 -118 W- 1 80.4 300.475 -189 -38 216
b_quark 0 4.18 88.473 -85 24 -3 b_quark 0 4.18 108.132 85 -65 15
b_quark 0 4.18 197.26 123 -119 -98 b_quark 0 4.18 167.608 -165 25 15
b_quark 0 4.18 183.691 115 30 -140 b_quark 0 4.18 167.718 -144 40 76
b_quark 0 4.18 122.982 77 -23 -93 b_quark 0 4.18 115.562 -96 -20 61
b_quark 0 4.18 161.748 -62 10 -149 b_quark 0 4.18 159.588 99 -79 97
W+ 1 80.4 129.681 55 -52 68 W- 1 80.4 127.801 24 58 -77
b_quark 0 4.18 157.678 56 -10 -147 b_quark 0 4.18 257.914 -75 19 246
b_quark 0 4.18 149.841 123 -85 -9 b_quark 0 4.18 172.808 -168 10 -39
b_quark 0 4.18 189.11 140 -104 -73 b_quark 0 4.18 215.948 -62 204 34
Z 1 91.2 104.228 -44 -21 -13 Z 1 91.2 120.301 -33 -29 -65
W+ 1 80.4 194.654 -129 -63 104 W- 1 80.4 239.468 78 101 -186
b_quark 0 4.18 112.816 -43 94 45 b_quark 0 4.18 247.201 141 -163 -121
b_quark 0 4.18 161.157 -132 77 -51 b_quark 0 4.18 178.094 66 -88 140
b_quark 0 4.18 184.874 -124 -116 -73 b_quark 0 4.18 161.386 150 42 42
b_quark 0 4.18 186.017 -60 -108 139 b_quark 0 4.18 231.457 85 59 -207
W+ 1 80.4 189.458 -83 35 -146 W- 1 80.4 296.502 101 -132 232
b_quark 0 4.18 141.122 115 52 -63 b_quark 0 4.18 192.846 -80 -84 154
b_quark 0 4.18 159.632 -38 39 150 b_quark 0 4.18 207.631 24 -9 -206
b_quark 0 4.18 141.907 -42 20 134 b_quark 0 4.18 208.534 51 -8 -202
W+ 1 80.4 203.785 110 58 140 W- 1 80.4 162.327 -29 -1 -138
b_quark 0 4.18 134.337 123 50 20 b_quark 0 4.18 47.5234 -37 14 -26
b_quark 0 4.18 89.7968 -47 19 -74 b_quark 0 4.18 163.91 88 -81 112
b_quark 0 4.18 207.049 142 -148 28 b_quark 0 4.18 343.717 -242 238 -54
b_quark 0 4.18 152.337 -7 96 -118 b_quark 0 4.18 123.594 -59 -104 31
b_quark 0 4.18 86.5937 -46 -73 -6 b_quark 0 4.18 87.8264 48 36 64
W+ 1 80.4 224.007 -139 -137 75 W- 1 80.4 317.805 238 194 -16
b_quark 0 4.18 145.005 -23 128 -64 b_quark 0 4.18 151.784 99 -112 26
b_quark 0 4.18 210.671 -147 16 150 b_quark 0 4.18 266.45 209 -81 -144
b_quark 0 4.18 67.5165 66 -4 13 b_quark 0 4.18 107.427 -77 65 -37
W+ 1 80.4 168.215 90 -54 -104 W- 1 80.4 244.438 -170 -19 155
b_quark 0 4.18 144.681 45 -137 -11 b_quark 0 4.18 157.621 -9 145 -61
b_quark 0 4.18 123.229 -40 -112 -32 b_quark 0 4.18 74.8764 -42 48 -39
b_quark 0 4.18 163.115 -100 58 115 b_quark 0 4.18 237.271 190 -82 -116
b_quark 0 4.18 89.3727 4 85 -27 b_quark 0 4.18 189.133 -11 -167 88
b_quark 0 4.18 211.363 108 143 -112 b_quark 0 4.18 228.868 -81 -161 141
b_quark 0 4.18 91.6759 -11 -79 45 b_quark 0 4.18 155.909 -15 152 -31
b_quark 0 4.18 164.498 -23 -88 -137 b_quark 0 4.18 222.86 -45 10 218
b_quark 0 4.18 136.395 39 -109 72 b_quark 0 4.18 108.612 -27 59 -87
W+ 1 80.4 159.832 51 -116 55 W- 1 80.4 165.158 -74 84 -91
b_quark 0 4.18 164.631 -131 58 81 b_quark 0 4.18 304.144 229 -142 -141
b_quark 0 4.18 121.682 16 -42 -113 b_quark 0 4.18 159.218 -42 105 112
b_quark 0 4.18 166.384 -119 -31 -112 b_quark 0 4.18 56.2003 31 8 46
b_quark 0 4.18 73.6985 -33 10 -65 b_quark 0 4.18 188.479 55 -81 161
b_quark 0 4.18 140.934 50 -128 -31 b_quark 0 4.18 197.544 2 181 79
tau+ 0 1.78 136.664 59 -123 8 tau- 0 1.78 195.328 30 193 1
b_quark 0 4.18 170.849 20 -134 104 b_quark 0 4.18 251.679 -75 152 -186
b_quark 0 4.18 168.794 -45 -132 95 b_quark 0 4.18 170.597 31 114 -123
b_quark 0 4.18 121.665 0 -12 121 b_quark 0 4.18 134.56 28 69 -112
b_quark 0 4.18 131.074 9 69 -111 b_quark 0 4.18 49.2186 28 10 39
b_quark 0 4.18 158.731 84 -59 -121 b_quark 0 4.18 258.363 -153 46 203
b_quark 0 4.18 166.146 -127 53 93 b_quark 0 4.18 251.027 200 -119 -94
b_quark 0 4.18 211.297 -15 150 148 b_quark 0 4.18 254.671 -72 -234 -70
b_quark 0 4.18 201.116 143 134 45 b_quark 0 4.18 243.036 -206 -62 -113
b_quark 0 4.18 120.077 -82 69 -54 b_quark 0 4.18 233.672 174 30 153
b_quark 0 4.18 130.883 29 -96 -84 b_quark 0 4.18 267.233 52 196 174
b_quark 0 4.18 179.283 110 -120 -75 b_quark 0 4.18 198.18 -12 183 75
tau+ 0 1.78 120.271 45 -71 -86 tau- 0 1.78 160.687 -38 73 138
b_quark 0 4.18 168.349 72 138 64 b_quark 0 4.18 222.438 -31 -220 10
b_quark 0 4.18 144.376 -111 91 15 b_quark 0 4.18 169.253 92 -86 -113
tau+ 0 1.78 101.642 82 -30 -52 tau- 0 1.78 61.6455 9 46 40
W+ 1 80.4 114.281 -16 34 -72 W- 1 80.4 100.445 -54 15 -22
b_quark 0 4.18 76.0426 -8 15 74 b_quark 0 4.18 152.782 94 67 -100
W+ 1 80.4 206.509 -73 102 -143 W- 1 80.4 312.181 94 -194 211
b_quark 0 4.18 161.402 -61 134 -66 b_quark 0 4.18 145.775 4 -119 84
b_quark 0 4.18 103.458 -2 -91 -49 b_quark 0 4.18 168.987 11 163 -43
b_quark 0 4.18 62.6376 20 59 5 b_quark 0 4.18 68.0696 -56 18 -34
b_quark 0 4.18 77.6883 8 73 25 b_quark 0 4.18 62.6456 53 3 33
b_quark 0 4.18 160.694 53 100 114 b_quark 0 4.18 81.9419 -46 -15 -66
b_quark 0 4.18 110.519 -71 10 84 b_quark 0 4.18 179.063 86 25 -155
b_quark 0 4.18 133.845 133 8 12 b_quark 0 4.18 165.977 -159 -45 15
b_quark 0 4.18 149.437 -43 -89 -112 b_quark 0 4.18 218.347 77 127 160
b_quark 0 4.18 63.1068 45 -2 -44 b_quark 0 4.18 148.076 31 28 142
W+ 1 80.4 182.637 42 138 78 W- 1 80.4 133.158 -59 -55 -69
b_quark 0 4.18 135.279 7 -3 -135 b_quark 0 4.18 211.479 20 25 209
b_quark 0 4.18 170.773 -115 39 120 b_quark 0 4.18 168.103 154 -50 -45
tau+ 0 1.78 107.174 -37 -95 33 tau- 0 1.78 144.907 -5 111 -93
b_quark 0 4.18 168.153 -129 -96 49 b_quark 0 4.18 267.351 223 11 -147
b_quark 0 4.18 160.114 131 -67 -63 b_quark 0 4.18 110.084 -106 -9 28
tau+ 0 1.78 122.528 69 75 -68 tau- 0 1.78 183.946 -34 -174 49
b_quark 0 4.18 196.91 -74 144 112 b_quark 0 4.18 278.739 -21 -199 -194
b_quark 0 4.18 113.188 -113 -5 0 b_quark 0 4.18 174.933 142 102 4
b_quark 0 4.18 111.532 109 21 -10 b_quark 0 4.18 96.0389 -91 -22 21
Z 1 91.2 194.729 -96 125 -69 Z 1 91.2 226.306 98 -182 -13
b_quark 0 4.18 85.4604 -81 -25 10 b_quark 0 4.18 181.913 165 -15 -75
b_quark 0 4.18 197.536 145 133 17 b_quark 0 4.18 273.402 -137 -231 51
b_quark 0 4.18 207.842 134 140 75 b_quark 0 4.18 269.873 -189 -182 -63
b_quark 0 4.18 177.301 -84 -71 -139 b_quark 0 4.18 120.343 96 -25 68
b_quark 0 4.18 167.199 116 -109 -51 b_quark 0 4.18 256.779 -213 10 143
W+ 1 80.4 198.238 143 -73 84 W- 1 80.4 200.388 -101 99 -117
b_quark 0 4.18 121.006 76 68 -65 b_quark 0 4.18 146.303 -43 -133 43
b_quark 0 4.18 144.522 12 -50 -135 b_quark 0 4.18 96.703 -3 90 35
b_quark 0 4.18 164.522 20 147 -71 b_quark 0 4.18 103.53 56 -61 62
b_quark 0 4.18 101.693 -36 -82 -48 b_quark 0 4.18 131.219 76 47 96
b_quark 0 4.18 187.842 147 -107 -47 b_quark 0 4.18 258.098 -242 88 17
b_quark 0 4.18 84.7082 -31 -71 -34 b_quark 0 4.18 102.91 -21 36 94
b_quark 0 4.18 139.393 -79 -44 106 b_quark 0 4.18 159.607 -3 22 -158
Z 1 91.2 214.631 98 -124 -113 Z 1 91.2 236.836 -17 46 213
b_quark 0 4.18 108.828 -96 -33 39 b_quark 0 4.18 196.915 159 34 -111
b_quark 0 4.18 141.303 75 20 118 b_quark 0 4.18 158.28 -143 -65 -19
b_quark 0 4.18 147.423 -34 72 -124 b_quark 0 4.18 134.263 93 -84 48
b_quark 0 4.18 144.428 -23 -72 -123 b_quark 0 4.18 80.6875 -45 42 52
b_quark 0 4.18 139.325 -77 -116 -3 b_quark 0 4.18 88.1276 66 48 33
b_quark 0 4.18 86.663 -44 -74 9 b_quark 0 4.18 178.06 46 144 -94
b_quark 0 4.18 155.87 70 -127 -57 b_quark 0 4.18 163.051 -80 142 2
W+ 1 80.4 159.343 -134 23 21 W- 1 80.4 113.781 37 53 48
tau+ 0 1.78 163.515 63 -34 -147 tau- 0 1.78 225.551 -161 82 135
b_quark 0 4.18 152.586 -38 -139 50 b_quark 0 4.18 193.511 -31 132 -138
tau+ 0 1.78 153.193 142 49 30 tau- 0 1.78 271.192 -230 -131 59
b_quark 0 4.18 112.696 -57 47 -85 b_quark 0 4.18 158.356 103 -97 71
b_quark 0 4.18 131.208 -6 1 -131 b_quark 0 4.18 86.5995 -67 -17 52
b_quark 0 4.18 135.98 56 91 -84 b_quark 0 4.18 194.852 -5 -170 95
b_quark 0 4.18 98.8862 -44 -16 87 b_quark 0 4.18 143.309 86 32 -110
W+ 1 80.4 132.398 -70 57 54 W- 1 80.4 86.1287 -28 -1 13
W+ 1 80.4 111.764 -65 31 -29 W- 1 80.4 168.731 73 66 111
W+ 1 80.4 153.799 -19 85 98 W- 1 80.4 222.417 56 -70 -187
b_quark 0 4.18 104.63 52 51 -75 b_quark 0 4.18 156.459 45 -81 126
b_quark 0 4.18 157.183 -86 102 -83 b_quark 0 4.18 200.371 129 -9 153
b_quark 0 4.18 98.4605 40 66 61 b_quark 0 4.18 77.9453 -45 28 -57
b_quark 0 4.18 76.5733 -19 3 -74 b_quark 0 4.18 159.686 19 -64 145
b_quark 0 4.18 101.047 66 46 61 b_quark 0 4.18 144.908 34 -72 -121
b_quark 0 4.18 162.304 71 -128 -70 b_quark 0 4.18 216.653 -110 111 150
b_quark 0 4.18 110.361 -47 -73 -68 b_quark 0 4.18 136.772 71 72 92
tau+ 0 1.78 169.21 -106 68 -113 tau- 0 1.78 208.586 58 -46 195
W+ 1 80.4 194.674 -127 -116 -43 W- 1 80.4 146.864 65 104 8
b_quark 0 4.18 194.145 -105 105 125 b_quark 0 4.18 230.405 68 -22 -219
W+ 1 80.4 132.492 -33 100 -1 W- 1 80.4 165.895 53 -122 -58
b_quark 0 4.18 136.556 -55 -38 119 b_quark 0 4.18 119.66 -40 101 -50
b_quark 0 4.18 237.275 -147 113 148 b_quark 0 4.18 315.44 234 -205 -52
W+ 1 80.4 88.035 21 13 -26 W- 1 80.4 190.825 -111 -102 85
b_quark 0 4.18 144.348 3 -19 143 b_quark 0 4.18 257.524 84 67 -234
b_quark 0 4.18 145.645 -7 -11 -145 b_quark 0 4.18 220.196 -88 -39 198
b_quark 0 4.18 157.033 -55 -124 79 b_quark 0 4.18 163.164 30 91 -132
b_quark 0 4.18 130.013 99 -77 34 b_quark 0 4.18 146.473 -132 13 -62
tau+ 0 1.78 174.589 -43 135 102 tau- 0 1.78 135.75 -10 -135 -10
b_quark 0 4.18 176.849 -147 80 -57 b_quark 0 4.18 113.329 111 12 -19
tau+ 0 1.78 107.63 -51 -66 68 tau- 0 1.78 134.904 72 -4 -114
b_quark 0 4.18 170.612 101 91 -103 b_quark 0 4.18 161.411 -156 -32 26
W+ 1 80.4 170.429 93 118 -3 W- 1 80.4 149.54 -21 -79 96
W+ 1 80.4 211.894 73 -141 115 W- 1 80.4 213.172 13 195 -28
b_quark 0 4.18 179.746 -125 -129 5 b_quark 0 4.18 168.83 111 98 81
W+ 1 80.4 147.194 -12 117 -37 W- 1 80.4 121.174 -55 -63 35
b_quark 0 4.18 92.2143 27 86 19 b_quark 0 4.18 142.925 -85 -96 -63
b_quark 0 4.18 183.988 103 -32 -149 b_quark 0 4.18 307.5 -185 115 217
b_quark 0 4.18 198.291 126 -101 115 b_quark 0 4.18 177.385 -174 4 -34
b_quark 0 4.18 193.586 -143 -25 -128 b_quark 0 4.18 176.118 90 20 150
b_quark 0 4.18 124.123 -69 32 98 b_quark 0 4.18 158.324 26 -73 -138
b_quark 0 4.18 126.457 -5 125 18 b_quark 0 4.18 213.334 5 -213 10
b_quark 0 4.18 128.388 105 71 20 b_quark 0 4.18 137.126 -92 -49 -89
b_quark 0 4.18 140.308 -108 81 38 b_quark 0 4.18 228.542 143 -178 9
W+ 1 80.4 146.373 -64 -7 -104 W- 1 80.4 155.805 93 -81 51
b_quark 0 4.18 169.064 -9 -128 -110 b_quark 0 4.18 165.615 -1 163 29
b_quark 0 4.18 195.516 -92 132 -111 b_quark 0 4.18 181.93 83 -124 104
b_quark 0 4.18 135.172 -58 93 -79 b_quark 0 4.18 147.687 73 -124 33
W+ 1 80.4 140.058 -88 -68 28 W- 1 80.4 99.2228 -4 -1 -58
b_quark 0 4.18 110.862 76 64 49 b_quark 0 4.18 147.148 23 -141 -35
Z 1 91.2 141.15 -29 102 -19 Z 1 91.2 204.63 52 -174 24
W+ 1 80.4 105.784 17 -9 -66 W- 1 80.4 139.22 -109 26 -19
W+ 1 80.4 148.708 31 -108 55 W- 1 80.4 224.19 -92 182 -47
tau+ 0 1.78 176.658 -28 89 150 tau- 0 1.78 88.4543 48 -54 -51
b_quark 0 4.18 194.12 -20 -137 136 b_quark 0 4.18 224.26 -3 145 -171
b_quark 0 4.18 122.725 12 -122 -4 b_quark 0 4.18 173.088 79 135 -74
b_quark 0 4.18 177.004 146 86 51 b_quark 0 4.18 220.392 -169 -113 -85
b_quark 0 4.18 187.015 -108 117 -98 b_quark 0 4.18 238.461 106 -153 149
W+ 1 80.4 206.541 83 -91 -145 W- 1 80.4 182.401 -126 27 101
b_quark 0 4.18 155.043 41 62 136 b_quark 0 4.18 243.915 20 -129 -206
b_quark 0 4.18 188.304 -8 -121 -144 b_quark 0 4.18 174.881 105 121 70
b_quark 0 4.18 160.186 147 63 -8 b_quark 0 4.18 252.421 -229 -73 77
W+ 1 80.4 205.556 -110 -100 -117 W- 1 80.4 236.038 140 33 169
b_quark 0 4.18 93.2334 33 85 -19 b_quark 0 4.18 215.804 -113 -164 83
b_quark 0 4.18 207.71 -95 -126 135 b_quark 0 4.18 189.693 81 107 -134
b_quark 0 4.18 208.812 -144 135 68 b_quark 0 4.18 183.018 129 -129 -14
b_quark 0 4.18 167.781 -106 39 124 b_quark 0 4.18 185.557 167 30 -75
b_quark 0 4.18 198.553 -81 106 147 b_quark 0 4.18 228.207 16 -27 -226
W+ 1 80.4 160.59 -112 75 34 W- 1 80.4 205.84 188 11 21
b_quark 0 4.18 117.083 53 91 51 b_quark 0 4.18 109.204 0 -98 48
W+ 1 80.4 216.876 -123 -91 -131 W- 1 80.4 288.531 140 81 225
b_quark 0 4.18 147.579 -111 -96 -15 b_quark 0 4.18 148.723 110 65 -76
b_quark 0 4.18 157.491 -101 109 -52 b_quark 0 4.18 169.672 147 -69 49
b_quark 0 4.18 178.375 4 -122 130 b_quark 0 4.18 187.807 -63 154 -87
b_quark 0 4.18 141.699 -128 14 -59 b_quark 0 4.18 208.594 146 67 133
W+ 1 80.4 149.657 -53 -80 -82 W- 1 80.4 173.315 55 143 10
W+ 1 80.4 161.115 -61 43 -118 W- 1 80.4 225.491 47 -58 197
b_quark 0 4.18 94.7337 -43 -78 32 b_quark 0 4.18 156.331 130 81 -31
b_quark 0 4.18 152.205 37 66 -132 b_quark 0 4.18 201.041 40 -44 192
b_quark 0 4.18 112.723 -82 58 51 b_quark 0 4.18 177.176 93 -129 -78
W+ 1 80.4 246.725 -97 -150 -150 W- 1 80.4 252.312 5 164 174
W+ 1 80.4 162.853 -132 28 43 W- 1 80.4 133.691 88 -52 31
W+ 1 80.4 218.781 -26 135 -150 W- 1 80.4 282.466 -23 -215 163
b_quark 0 4.18 93.2656 46 18 79 b_quark 0 4.18 149.675 -138 -46 -35
b_quark 0 4.18 143.911 70 -72 103 b_quark 0 4.18 163.351 -163 4 -9
W+ 1 80.4 165.777 43 -137 20 W- 1 80.4 192.026 55 147 -76
b_quark 0 4.18 191.404 121 136 -59 b_quark 0 4.18 214.633 -161 -140 23
b_quark 0 4.18 118.539 -65 -97 20 b_quark 0 4.18 139.433 -28 136 -12
tau+ 0 1.78 158.616 126 -8 96 tau- 0 1.78 171.009 -89 -58 -134
b_quark 0 4.18 132.418 83 -32 98 b_quark 0 4.18 188.259 -92 92 -136
b_quark 0 4.18 179.227 65 -114 122 b_quark 0 4.18 156.533 2 105 -116
b_quark 0 4.18 131.562 -91 27 91 b_quark 0 4.18 270.85 190 -39 -189
W+ 1 80.4 204.708 134 122 -51 W- 1 80.4 278.572 -204 -101 139
tau+ 0 1.78 146.315 40 -46 133 tau- 0 1.78 161.568 -12 6 -161
b_quark 0 4.18 169.739 -128 47 101 b_quark 0 4.18 209.637 143 -141 -60
b_quark 0 4.18 143.661 34 -131 -48 b_quark 0 4.18 114.728 -70 89 -18
W+ 1 80.4 164.812 -43 135 -25 W- 1 80.4 146.155 102 -67 -2
Z 1 91.2 236.583 -142 99 -133 Z 1 91.2 303.584 209 -94 177
b_quark 0 4.18 141.08 121 69 22 b_quark 0 4.18 196.968 -81 -157 -87
b_quark 0 4.18 92.7333 -75 29 46 b_quark 0 4.18 152.064 64 -43 -131
tau+ 0 1.78 160.066 141 -51 -56 tau- 0 1.78 225.976 -158 67 147
W+ 1 80.4 141.344 -43 -64 87 W- 1 80.4 178.757 -23 144 -65
b_quark 0 4.18 133.942 27 63 -115 b_quark 0 4.18 164.874 3 -119 114
W+ 1 80.4 83.6012 20 -10 -5 W- 1 80.4 132.371 13 -67 80
b_quark 0 4.18 91.7577 76 -49 15 b_quark 0 4.18 47.3548 0 25 40
tau+ 0 1.78 178.138 -135 112 31 tau- 0 1.78 205.663 67 -163 -106
b_quark 0 4.18 148.4 -80 38 -119 b_quark 0 4.18 145.243 74 -121 31
b_quark 0 4.18 109.121 0 -107 -21 b_quark 0 4.18 160.896 57 150 -11
b_quark 0 4.18 95.475 49 64 -51 b_quark 0 4.18 108.506 -26 -102 26
b_quark 0 4.18 154.053 -55 139 -37 b_quark 0 4.18 138.353 38 -132 16
W+ 1 80.4 90.7863 27 32 -5 W- 1 80.4 120.454 -62 -51 40
b_quark 0 4.18 107.217 -35 -58 -83 b_quark 0 4.18 108.933 40 40 93
W+ 1 80.4 167.556 -119 85 15 W- 1 80.4 138.612 72 -83 26
b_quark 0 4.18 178.515 45 -148 -89 b_quark 0 4.18 234.577 -75 222 -10
b_quark 0 4.18 172.663 125 -101 -63 b_quark 0 4.18 236.056 -138 119 150
tau+ 0 1.78 175.537 101 -103 100 tau- 0 1.78 75.3603 -74 14 -2
Z 1 91.2 207.667 132 130 22 Z 1 91.2 265.493 -128 -187 -104
b_quark 0 4.18 192.739 -127 41 -139 b_quark 0 4.18 153.351 47 -109 97
b_quark 0 4.18 80.1715 -40 7 -69 b_quark 0 4.18 39.1723 -36 -14 5
b_quark 0 4.18 96.3041 -94 -15 -14 b_quark 0 4.18 176.869 156 80 23
b_quark 0 4.18 159.773 63 -129 70 b_quark 0 4.18 81.7158 -66 48 0
W+ 1 80.4 110.278 74 5 14 W- 1 80.4 103.02 -2 -47 44
b_quark 0 4.18 64.8342 39 -36 37 b_quark 0 4.18 152.113 -74 118 61
b_quark 0 4.18 178.859 -118 132 -25 b_quark 0 4.18 216.385 168 -130 -41
b_quark 0 4.18 172.865 95 -106 98 b_quark 0 4.18 184.126 -82 155 -56
b_quark 0 4.18 204.368 32 -150 -135 b_quark 0 4.18 177.537 -35 161 66
b_quark 0 4.18 143.689 -105 -98 0 b_quark 0 4.18 190.828 86 159 61
b_quark 0 4.18 113.294 87 32 -65 b_quark 0 4.18 141.402 -140 4 -19
b_quark 0 4.18 213.924 -137 -144 79 b_quark 0 4.18 272.321 181 102 -176
b_quark 0 4.18 152.097 -54 -138 -34 b_quark 0 4.18 213.924 11 205 60
W+ 1 80.4 134.004 9 -66 -84 W- 1 80.4 245.581 42 139 181
b_quark 0 4.18 93.7895 -47 -63 51 b_quark 0 4.18 117.267 3 90 -75
b_quark 0 4.18 165.908 -38 108 -120 b_quark 0 4.18 253.096 126 -208 70
W+ 1 80.4 204.463 72 131 114 W- 1 80.4 306.061 -166 -143 -198
b_quark 0 4.18 136.684 -82 95 54 b_quark 0 4.18 81.3048 25 -28 -72
